Gene_Id	brefeldin-a_HEPG2_6 h_10 µM
LPGAT1	-0.179725721
KIF14	-2.233994246
OXSR1	0.940008521
MVP	0.181458741
DMTF1	-0.69289422
GNPDA1	-0.146767676
HDAC6	-0.770524383
PARP2	-0.408003449
MAMLD1	0.028597943
DNAJB6	-0.54316479
SMC4	0.163126081
ABCC5	0.956811786
ABCB6	0.390079021
DNM1L	1.020192504
TSPAN3	0.721758306
KIF20A	0.558673859
ARL4C	0.021370843
TRAP1	-0.056754902
G3BP1	-0.031080987
MBNL2	0.41762352
CEBPZ	-0.718293905
SLC25A13	-1.171557546
SORBS3	-0.663695812
RBM6	0.023224503
TXNDC9	-0.287756622
TRIM13	-0.2874403
TRIB1	1.887065768
MFSD10	0.63375634
SLC35B1	0.908840001
TIMM17B	0.958336592
AKAP8	-1.839687824
STUB1	-1.298526883
NET1	-0.310315877
SMNDC1	2.10144496
PAK4	2.740477085
TNIP1	-1.08056128
IKZF1	2.152439117
TMEM5	-0.614905894
HMG20B	3.680417776
MYL9	0.452454865
LYPLA1	0.569504738
PPIE	0.473967642
VAV3	-0.221963048
LRRC41	-1.144349933
CRTAP	0.208173543
VAT1	3.39735508
STK25	-0.00237852
APPBP2	1.105439067
CHERP	1.422512889
HYOU1	-0.379457891
RPP38	-0.56184715
SLC35A1	-0.271857291
DRAP1	0.053031519
PAICS	-1.051355124
ST6GALNAC2	1.346762419
STAMBP	1.729873657
NPRL2	-0.22549741
IGF2BP2	-0.577521682
YKT6	2.171365738
CGRRF1	-0.831612527
RRAGA	-2.05471468
GNB5	2.103313684
EBP	-1.326369524
CNPY3	0.12933667
YME1L1	0.198601112
TCFL5	-0.367517829
KDM5B	-2.208715677
POP4	-0.788876414
ARPP19	-0.989636064
ZNF274	0.468015105
MTHFD2	0.184630454
WASF3	1.789518237
UTP14A	0.244090021
FRS2	-0.239498839
CLPX	-1.26459384
PGRMC1	0.682487547
MALT1	-0.37286827
CPSF4	-0.833655477
BLCAP	0.310254157
TCERG1	-0.807278931
RNPS1	3.246277332
TOMM34	-0.250317335
PDIA5	-0.379408777
MLLT11	-3.812773466
EBNA1BP2	3.904847384
TMED10	0.577846408
ASCC3	-0.080717161
SLC27A3	0.662127495
KIF2C	0.395188898
CCDC85B	-0.933244407
TLK2	1.180622697
KDELR2	-0.650984347
RAB31	0.052300043
B4GAT1	-0.574036658
PAPD7	-0.939919412
UBE2C	-0.042484552
DUSP14	3.454507351
TOPBP1	-0.106390499
PRSS23	-2.229493856
PWP1	1.617913246
PKIG	0.988777518
CORO1A	-0.821969151
LSM6	2.439159632
PSIP1	7.287282467
SLC2A6	-1.212131977
NISCH	0.040702023
CHEK2	0.835656464
