Gene_Id	VU-0418946-1_HEPG2_6 h_10 µM
AKAP8L	-0.493960083
ATP2C1	-1.101197004
TRAPPC3	1.437092185
ATP5S	-1.886778235
TNFRSF21	-0.027032234
SESN1	2.273671627
HTATSF1	-0.145051092
TMEM97	3.477118254
BZW2	1.228075743
CHMP4A	-2.848605633
GTPBP8	-1.028982401
DNAJC15	-1.419626117
PACSIN3	1.306752801
RBM15B	4.898078918
HOOK2	-1.407578945
SNX11	1.135375261
TIMM22	-1.511398077
NENF	-1.259747982
UBQLN2	-4.409244061
ERO1A	-0.99456358
DNTTIP2	-0.343355358
PIK3R4	-1.855951071
HDGFRP3	0.475901514
COPS7A	-0.535456657
NSDHL	-0.022138476
HEBP1	-1.027103066
MTERF3	0.872290969
AMDHD2	1.912581444
ISOC1	-6.507891655
MRPS16	0.501853347
FIS1	1.493736029
GOLT1B	0.057460964
GLOD4	-0.666191638
GMNN	1.227654457
LAP3	1.191406727
NOSIP	-2.747396469
DERA	-2.081113815
SCCPDH	0.482353091
MRPS2	0.796078444
VPS28	1.062833548
HSD17B11	0.422800183
NUSAP1	0.331787467
SCAND1	3.471617222
CD320	-2.078618526
NGRN	-2.159500837
SNX7	-1.4418329
ATP6V1D	0.524463415
ZNF589	-0.226972669
PRKAG2	-1.102742195
UBE2J1	-0.813722789
EVL	-1.667445302
HACD3	-1.358704805
UFM1	-0.137668252
LSR	0.427408963
DHRS7	7.074399948
CAB39	-0.096741676
ARID4B	-1.222981811
NUDT9	-2.192121029
CYCS	-2.201319695
TERF2IP	-1.383125544
GFOD1	-0.818693459
KCTD5	1.733558178
TMCO1	0.413951546
DHX29	-2.914681435
EXOSC4	1.996634483
DDIT4	-2.493251801
PAF1	6.754046917
P4HTM	0.491494119
SLC35F2	-0.752188087
ZNF586	-0.699784279
FBXL12	-0.016600996
TEX10	0.675589561
YTHDF1	-0.024034679
TXNL4B	0.910947204
HERC6	0.338846862
PIH1D1	0.232721478
PPP2R3C	5.823120117
FKBP14	2.597254038
CDCA4	-2.736918688
PLEKHJ1	-0.245277345
HEATR1	-3.301544189
ANO10	0.584611595
UBR7	-3.125983238
FAIM	-2.022303581
ADI1	-2.426996708
ABCF3	2.234806061
ENOSF1	0.303918332
LRRC16A	0.835231304
ANKRD10	1.066030025
STAP2	2.160567999
IARS2	-0.487667263
NUP133	-1.977402806
CNDP2	0.419773132
FAM63A	-3.167309284
KDM3A	-1.099094391
PECR	-1.292085648
EAPP	-0.972974122
CISD1	0.533061326
ZNF395	0.574612379
KLHL9	1.421994209
NPDC1	0.607455969
TM9SF3	-0.481637299
PAK6	-3.470311165
DUSP22	0.999135375
ADCK3	-0.129973114
CIAPIN1	-0.109988749
PLSCR3	4.62575531
SCYL3	0.112513304
LYRM1	0.095341869
ZMIZ1	-1.387546062
MCOLN1	-1.252378464
THAP11	1.805297136
ABHD6	-0.431531727
TRIB3	2.222175598
POLD4	-0.263219535
SQRDL	-2.244789839
ENOPH1	1.240558624
PRUNE	0.212470651
SNX6	2.071255684
FASTKD5	2.371468067
ELAC2	-1.122200131
ABHD4	-3.253632545
MCUR1	-0.923374355
RBKS	0.448240161
ATG3	0.520769477
NARFL	-0.08560887
ZDHHC6	-0.629350007
ACBD3	-0.404927135
CERK	0.62979579
NT5DC2	1.072029948
ACD	-0.014232022
INTS3	0.927534163
TRAK2	0.860204756
METRN	0.619354486
ELOVL6	0.233993441
TMEM109	1.322759748
CCDC86	0.218125537
TRAPPC6A	-0.040825665
CHAC1	0.579755902
MBOAT7	-0.327436626
PRR15L	-0.622846246
CRELD2	-1.427742481
FSD1	0.889411569
TCTN1	0.013237357
CHMP6	-0.167664722
NPEPL1	0.498018771
FAM57A	-0.234536767
NUP85	0.841798067
TCEAL4	-2.409897804
DHDDS	3.346508741
DENND2D	1.729976416
FBXO11	2.09507966
CCDC92	-1.618962288
COASY	-0.227591723
WDR61	-4.432920456
TSEN2	-1.135962367
PRR7	-1.013166189
ITFG1	1.168074846
GDPD5	-0.677213609
GRWD1	1.861116648
ARID5B	-2.931900501
TUBB6	-1.973971844
PSRC1	1.294741392
ADO	-5.301820755
HIST1H2BK	0.436875224
MICALL1	0.713217556
UBE3B	0.07066381
HN1L	0.156263232
SLC25A46	2.604661703
COG7	-4.046672344
MAPK1IP1L	-0.300492078
TBC1D31	-0.757465601
H2AFV	-1.054246426
RPL39L	-2.422967911
CANT1	-1.255652428
WIPF2	-1.926874876
TICAM1	-4.438039303
TXLNA	-3.727577686
SPRED2	2.096103907
EML3	-0.443706691
TMEM110	-0.403798342
FAM69A	2.365271807
