Gene_Id	quercetin_HEPG2_6 h_10 µM
PRKAG2	0.016765118
UBE2J1	-1.824485064
EVL	-0.449048549
HACD3	0.166977927
UFM1	0.584791899
LSR	0.539024472
DHRS7	0.951061487
CAB39	0.774416804
ARID4B	-0.839584827
NUDT9	-0.466453373
CYCS	0.862932146
TERF2IP	-2.453248024
GFOD1	0.173982739
KCTD5	0.498166621
TMCO1	0.844197154
DHX29	-1.442809105
EXOSC4	-1.111285925
DDIT4	-0.124204248
PAF1	1.266369462
P4HTM	0.010845244
SLC35F2	0.576571345
ZNF586	-0.644652486
FBXL12	3.710131884
TEX10	2.014506817
YTHDF1	1.17318368
TXNL4B	-0.339733839
HERC6	0.775879145
PIH1D1	0.613432705
PPP2R3C	2.020693064
FKBP14	0.687905192
CDCA4	-1.700296521
PLEKHJ1	-0.88059175
HEATR1	-4.543883801
ANO10	-0.458524585
UBR7	-0.165671989
FAIM	1.150191665
ADI1	-0.283888757
ABCF3	1.359542608
ENOSF1	0.007070124
LRRC16A	-0.272747517
ANKRD10	1.855375409
STAP2	1.998746395
IARS2	-0.109980166
NUP133	-0.272371292
CNDP2	0.528269112
FAM63A	0.308206886
KDM3A	-1.876470685
PECR	0.446641713
EAPP	0.968465209
CISD1	-0.555960655
ZNF395	2.583537817
KLHL9	0.115148693
NPDC1	0.39431724
TM9SF3	-0.769236088
PAK6	-4.85506916
DUSP22	0.685736895
ADCK3	-0.853493452
CIAPIN1	0.629082263
PLSCR3	1.600381613
SCYL3	1.235880375
LYRM1	0.687320471
ZMIZ1	0.098533958
MCOLN1	-1.640322924
THAP11	-1.176337957
ABHD6	1.409866691
TRIB3	-0.276020259
POLD4	-0.204406768
SQRDL	0.428652942
ENOPH1	-0.836115718
PRUNE	-2.220359802
SNX6	0.835459054
FASTKD5	-0.396523118
ELAC2	0.418664694
ABHD4	-1.505489469
MCUR1	0.437193274
RBKS	-1.378672123
ATG3	-0.700630307
NARFL	1.383766174
ZDHHC6	-1.517498851
ACBD3	-1.084528804
CERK	0.303837627
NT5DC2	-0.769350886
ACD	0.579155922
INTS3	2.477360249
TRAK2	0.386536777
METRN	-0.364416599
ELOVL6	0.637895286
TMEM109	1.661524057
CCDC86	-0.232427537
TRAPPC6A	-1.31728363
CHAC1	-0.392802
MBOAT7	-0.663686156
PRR15L	0.790323138
CRELD2	1.076566458
FSD1	1.237511516
TCTN1	-1.190219522
CHMP6	-2.858387709
NPEPL1	2.591535091
FAM57A	0.547109008
NUP85	0.702047944
TCEAL4	-0.724844575
DHDDS	1.254733324
DENND2D	1.296657205
FBXO11	-0.692034721
CCDC92	-0.245240346
COASY	-0.311400354
WDR61	-0.402107179
TSEN2	-1.345739365
PRR7	-2.303667545
ITFG1	-0.650759101
GDPD5	1.486045599
GRWD1	1.311977506
ARID5B	-0.667282104
TUBB6	-1.539521217
PSRC1	0.6520679
ADO	-4.392164707
HIST1H2BK	0.707096577
MICALL1	0.444868088
UBE3B	-0.49599883
HN1L	0.889072657
SLC25A46	1.21849525
COG7	-2.390865564
MAPK1IP1L	0.871351242
TBC1D31	1.080396295
H2AFV	0.544202924
RPL39L	0.797904372
CANT1	-0.859780312
WIPF2	-2.289304495
TICAM1	-1.062779188
TXLNA	-1.920500755
SPRED2	0.760166109
EML3	-1.444725037
TMEM110	-1.074224234
FAM69A	1.978291035
