Gene_Id	geldanamycin_HEPG2_24 h_10 µM
FRS2	-0.06024768
CLPX	0.308573197
PGRMC1	-0.470757497
MALT1	-1.873891294
CPSF4	-0.316850982
BLCAP	0.767684977
TCERG1	-2.656841728
RNPS1	-0.300529899
TOMM34	0.104449865
PDIA5	1.144146536
MLLT11	1.580836518
EBNA1BP2	-0.128953956
TMED10	0.240262963
ASCC3	1.046278721
SLC27A3	-3.302117125
KIF2C	-1.654650837
CCDC85B	-0.349074887
TLK2	-0.312166117
KDELR2	1.590090983
RAB31	-3.412643027
B4GAT1	1.928123322
PAPD7	1.86681484
UBE2C	0.345571822
DUSP14	0.509656363
TOPBP1	0.142671866
PRSS23	-1.693308025
PWP1	-2.285881906
PKIG	0.932072469
CORO1A	1.480718127
LSM6	-0.092413393
PSIP1	-2.252632501
SLC2A6	1.112231631
NISCH	-0.885558315
CHEK2	-0.920286019
PRAF2	-2.021778545
POLG2	1.187069174
CHP1	0.958976611
PNKP	0.841805673
ECD	0.20173545
DDX42	3.822704952
TWF2	1.324151743
CASC3	0.51131869
COG2	-0.832018349
ATF5	-0.142052681
MTF2	2.189003327
PUF60	-2.51528321
RAB11FIP2	-1.264097364
CLSTN1	1.832719916
FOXJ3	-4.484953579
KIAA0907	-0.878998081
EPN2	1.917997625
SACM1L	1.108013213
ATF6	3.445988908
RPIA	0.447697614
RAB21	-0.75821159
SPEN	-4.865906679
FBXO21	-0.378323212
RBM34	-0.200156848
WDTC1	1.040708718
XPO7	-2.215347642
TBC1D9B	1.60432371
RRP1B	2.149405294
MYCBP2	-2.533818304
CDK19	-5.37660035
GPATCH8	4.60166509
MAST2	1.618339044
DCUN1D4	1.639487845
FCHO1	0.607453797
SNX13	0.305119304
ATP11B	-1.415333039
JMJD6	0.817148693
RRS1	-0.127665458
RRP12	-1.515693181
SYNE2	1.441833722
PDS5A	1.523300611
CAMSAP2	-0.616858479
ATMIN	0.421034611
TRIM2	3.96806654
KIAA1033	1.30673211
USP22	2.896867104
WDR7	0.672390705
JADE2	-1.810667795
ARHGEF12	1.299531848
PPP1R13B	0.656687154
RRP8	-3.931304471
NUDCD3	-2.46165285
SIRT3	0.930263355
SLC35A3	-1.112614697
ICMT	3.31412943
MACF1	1.657954978
SUZ12	-2.486186432
KAT6B	-1.388422792
NNT	-0.549479182
ADAT1	-0.050881582
TMEM50A	-4.613419772
KLHDC2	3.166912404
ACOT9	0.484411797
SSBP2	-0.204908044
NUP62	4.184929629
ARFIP2	1.101254259
LSM5	-1.268805855
PLA2G15	-1.900411253
TMEM2	-0.774389133
ZNF318	-0.095043218
FBXO7	-2.138977325
SPDEF	0.283801812
BAMBI	1.035603711
BACE2	-2.705713722
COG4	1.858286155
MPC2	-3.907583297
CLIC4	-0.12219021
C2CD2	5.162348862
TIPARP	-1.28144535
TSKU	-0.073687231
RNF167	-2.350403716
LRP10	2.102708745
ZNF451	-3.048316508
SENP6	0.842493238
RAI14	0.928320387
KIF1BP	0.833848154
TES	1.833596368
PHGDH	1.972078195
MYCBP	1.003448581
CHIC2	1.207992206
TIMM9	-6.560826095
AKAP8L	-0.157766159
ATP2C1	0.196156028
TRAPPC3	-2.093593735
ATP5S	-2.273128905
TNFRSF21	-1.744946235
SESN1	2.071298368
HTATSF1	0.496831595
TMEM97	0.874374267
BZW2	7.935230775
CHMP4A	-0.508634501
GTPBP8	2.633598106
DNAJC15	-1.50642989
PACSIN3	-0.13300631
RBM15B	-1.748524011
HOOK2	-5.213733854
SNX11	-0.674704259
TIMM22	1.06762655
NENF	-2.857960339
UBQLN2	1.542985057
ERO1A	-0.37048948
DNTTIP2	1.630743784
PIK3R4	6.555923012
HDGFRP3	-0.775882413
COPS7A	0.570335843
NSDHL	-4.367955476
HEBP1	-0.687470495
MTERF3	1.071032
AMDHD2	2.09833062
ISOC1	0.675071711
MRPS16	1.332764321
FIS1	0.625582196
GOLT1B	4.62373349
GLOD4	-0.046905073
GMNN	-1.054632013
LAP3	-1.003219175
NOSIP	-0.539797955
DERA	2.046529902
SCCPDH	0.245345095
MRPS2	0.835519216
VPS28	3.457874684
HSD17B11	1.218019557
NUSAP1	1.02206624
SCAND1	-0.722075277
CD320	2.567482975
NGRN	-2.272050691
SNX7	2.280942073
ATP6V1D	-3.274432154
ZNF589	0.693338269
PRKAG2	-4.205623042
UBE2J1	2.052321183
EVL	-0.538327928
HACD3	3.321173792
UFM1	-0.141055082
LSR	-0.360975875
DHRS7	-0.845225798
CAB39	0.531740022
ARID4B	0.255811766
NUDT9	-2.483789669
CYCS	-5.032224971
TERF2IP	-2.966090937
GFOD1	-0.267744326
KCTD5	1.016330445
TMCO1	0.589566466
