Gene_Id	benzo(a)pyrene_VCAP_24 h_10 µM
DUSP14	-0.32420361
TOPBP1	0.170823082
PRSS23	0.537975609
PWP1	1.064179182
PKIG	-0.425783664
CORO1A	-0.255976707
LSM6	-0.129882455
PSIP1	0.397543162
SLC2A6	0.266709715
NISCH	0.06978254
CHEK2	1.037204623
PRAF2	0.950432181
POLG2	0.315376163
CHP1	-0.101582587
PNKP	-0.918971956
ECD	-0.117169291
DDX42	0.130697042
TWF2	0.463860571
CASC3	-0.459109366
COG2	-0.532149494
ATF5	-0.328469932
MTF2	0.096020423
PUF60	0.352103263
RAB11FIP2	1.013129592
CLSTN1	0.074798547
FOXJ3	0.080683246
KIAA0907	-0.237157792
EPN2	0.368906468
SACM1L	0.351301521
ATF6	-0.000183925
RPIA	0.491343677
RAB21	-0.211436242
SPEN	0.048285916
FBXO21	0.087281346
RBM34	0.386783868
WDTC1	-0.210382462
XPO7	0.121179774
TBC1D9B	0.215921044
RRP1B	-0.171982899
MYCBP2	-1.896228909
CDK19	0.165997639
GPATCH8	0.649638355
MAST2	-0.447211176
DCUN1D4	-0.078218043
FCHO1	-0.286056548
SNX13	-0.313215256
ATP11B	-3.626167297
JMJD6	-0.303696066
RRS1	-0.684690177
RRP12	-0.387408972
SYNE2	-0.389078856
PDS5A	-0.171056509
CAMSAP2	-0.095067173
ATMIN	0.005224481
TRIM2	2.630091906
KIAA1033	-0.48267293
USP22	0.051972032
WDR7	0.272113383
JADE2	0.002699301
ARHGEF12	-0.716027141
PPP1R13B	0.07912118
RRP8	0.284213245
NUDCD3	-0.579277396
SIRT3	1.234538078
SLC35A3	0.230576858
ICMT	-1.494218111
MACF1	1.282833576
SUZ12	-0.783395588
KAT6B	0.102903858
NNT	1.054189682
ADAT1	0.043669712
TMEM50A	-0.235300392
KLHDC2	0.619730473
ACOT9	-0.057574097
SSBP2	-0.155194819
NUP62	-0.475707859
ARFIP2	0.339518726
LSM5	0.054758549
PLA2G15	-0.131911695
TMEM2	0.473445147
ZNF318	-0.058616024
FBXO7	0.177535877
SPDEF	0.083933994
BAMBI	0.473867595
BACE2	0.217648342
COG4	-0.737405062
MPC2	0.113296092
CLIC4	1.440289259
C2CD2	-0.382778913
TIPARP	0.602552235
TSKU	0.829639196
RNF167	-0.420177191
LRP10	-0.257238626
ZNF451	-0.965790629
SENP6	1.233396769
RAI14	0.207328558
KIF1BP	0.026674069
TES	-0.128010467
PHGDH	-0.161193505
MYCBP	-0.472273648
CHIC2	1.7334795
TIMM9	1.136063814
AKAP8L	0.4395307
ATP2C1	0.612099528
TRAPPC3	-0.31454438
ATP5S	0.58769995
TNFRSF21	0.203024715
SESN1	-0.386291683
HTATSF1	0.499997556
TMEM97	1.484493256
BZW2	1.615001798
CHMP4A	0.10524419
GTPBP8	0.395887434
DNAJC15	0.324613005
PACSIN3	-0.68420589
RBM15B	0.013998142
HOOK2	3.175455332
SNX11	0.159745917
TIMM22	-1.044239521
NENF	-0.216986284
UBQLN2	0.156949535
ERO1A	0.494300783
DNTTIP2	0.323759198
PIK3R4	-0.195936993
HDGFRP3	0.042240083
COPS7A	1.518293977
NSDHL	-0.485527158
HEBP1	0.662691474
MTERF3	0.261891305
AMDHD2	-0.467307806
ISOC1	-2.192789078
MRPS16	0.107701436
FIS1	0.166085944
GOLT1B	-0.406217605
GLOD4	0.546165287
GMNN	-0.846307576
LAP3	-0.216701314
NOSIP	0.412036806
DERA	0.087908603
SCCPDH	1.70846951
MRPS2	-0.282405019
VPS28	-0.32309714
HSD17B11	0.302185088
NUSAP1	-0.445202798
SCAND1	-0.334013045
CD320	0.441479802
NGRN	-0.032642379
SNX7	0.144819111
ATP6V1D	-0.400779396
ZNF589	0.160555378
PRKAG2	0.372998595
UBE2J1	-0.260001719
EVL	-0.517045021
HACD3	-0.693922341
UFM1	0.048305418
LSR	-0.072740868
DHRS7	0.051691845
CAB39	-0.021131299
ARID4B	-0.110664017
NUDT9	0.783483922
CYCS	0.445505887
TERF2IP	0.358628213
GFOD1	-0.239647925
KCTD5	0.76746273
TMCO1	-0.131729543
DHX29	-0.661232829
EXOSC4	-0.65371418
DDIT4	1.070018411
PAF1	0.099389456
P4HTM	0.811775267
SLC35F2	0.981666088
ZNF586	-0.29435879
FBXL12	1.026974678
TEX10	0.207843646
YTHDF1	0.118755519
TXNL4B	-0.162092
HERC6	-1.157172799
PIH1D1	0.857756376
PPP2R3C	-0.294403791
FKBP14	0.548356831
CDCA4	-0.2743572
PLEKHJ1	-0.132757902
HEATR1	-0.726151884
ANO10	-0.214365304
UBR7	0.020461421
FAIM	-0.068095848
ADI1	-0.943241477
ABCF3	1.054345608
ENOSF1	0.042361218
LRRC16A	-0.114290103
ANKRD10	-0.333462715
STAP2	-0.554138899
IARS2	-0.160894737
NUP133	-0.373904586
CNDP2	-0.209435388
FAM63A	-0.277733207
KDM3A	-0.014181733
PECR	-0.623270094
EAPP	0.414287031
CISD1	1.156075001
ZNF395	-0.649476409
KLHL9	1.493580222
NPDC1	-0.930455863
TM9SF3	0.190029621
PAK6	0.114990517
DUSP22	-0.431034476
ADCK3	0.074226677
CIAPIN1	0.534591615
PLSCR3	0.337070853
SCYL3	0.53211838
LYRM1	-0.532743096
ZMIZ1	-0.406537533
MCOLN1	-0.549002945
THAP11	-0.061167274
ABHD6	0.227118671
TRIB3	-0.173645034
POLD4	-0.350094825
SQRDL	-0.407391131
ENOPH1	-0.044086181
PRUNE	-0.19997941
SNX6	0.276691884
FASTKD5	-0.005207324
ELAC2	-1.274297237
ABHD4	-0.495637387
MCUR1	-1.387764812
RBKS	-0.699580491
ATG3	-1.03281951
NARFL	-0.337010264
ZDHHC6	0.523930311
ACBD3	0.405830681
CERK	0.455194801
NT5DC2	1.083793521
ACD	0.802219272
INTS3	1.311170816
TRAK2	0.099469982
METRN	-0.902117729
ELOVL6	-0.219833434
TMEM109	-1.477529168
CCDC86	0.245738462
TRAPPC6A	0.343575388
CHAC1	-0.568580687
MBOAT7	-0.658827186
PRR15L	-0.456751764
CRELD2	-0.307598531
FSD1	1.062662721
TCTN1	0.408554494
CHMP6	-0.685897529
NPEPL1	2.575400591
FAM57A	-0.395068496
NUP85	0.30452317
TCEAL4	1.099256992
DHDDS	-0.39944312
DENND2D	0.447863072
FBXO11	-0.373999596
CCDC92	-0.455453843
COASY	0.039404511
WDR61	-0.793944359
TSEN2	-0.111698277
PRR7	-0.711500525
ITFG1	0.735729337
GDPD5	-0.607405603
GRWD1	0.565450907
ARID5B	-0.176558584
TUBB6	-0.937598348
