source,target,source_genesymbol,target_genesymbol,is_directed,is_stimulation,is_inhibition,consensus_direction,consensus_stimulation,consensus_inhibition,dip_url,sources,references,nsources,nrefs
O94813,Q9HCK4,SLIT2,ROBO2,1,1,0,1,1,0,,Fantom5_LRdb;HPMR;HPMR_LRdb;HPRD;HPRD_LRdb;LRdb;Ramilowski2015;Wang;iTALK,HPMR:14761655;HPMR:15130495;HPRD:10102268;LRdb:1;LRdb:15130495,9,5
P02452,Q16832,COL1A1,DDR2,1,1,0,1,1,0,,Baccin2019;EMBRACE;Fantom5_LRdb;HPMR;HPMR_LRdb;HPRD;HPRD_LRdb;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;Wang;iTALK,Baccin2019:12611880;Baccin2019:9659899;HPMR:12611880;HPRD:9659899;LRdb:12611880;LRdb:97,12,6
P43026,Q01974,GDF5,ROR2,1,1,0,1,1,0,,Fantom5_LRdb;HPMR;HPMR_LRdb;LRdb;Ramilowski2015;Wang;iTALK,HPMR:15569154;LRdb:15569154,7,2
Q9NPH0,O94992,ACP6,HEXIM1,1,1,0,1,1,0,,HPMR;Wang,,2,0
P35354,P43088,PTGS2,PTGFR,1,1,0,1,1,0,,HPMR;Wang,,2,0
P01019,P04201,AGT,MAS1,1,1,0,1,1,0,,Fantom5_LRdb;HPMR;HPMR_LRdb;HPRD;HPRD_LRdb;LRdb;Ramilowski2015;Wang;iTALK,HPMR:12829792;HPRD:12829792;LRdb:12829792,9,3
P21980,Q9Y653,TGM2,ADGRG1,1,1,0,1,1,0,,Fantom5_LRdb;HPMR;HPMR_LRdb;LRdb;Ramilowski2015;Wang;iTALK,HPMR:16757564;LRdb:16757564,7,2
O15230,P48509,LAMA5,CD151,1,1,0,1,1,0,,HPMR;Wang,HPMR:10842354;HPMR:15677332,2,2
P07942,P48509,LAMB1,CD151,1,1,0,1,1,0,,HPMR;Wang,HPMR:10842354;HPMR:15677332,2,2
Q8NEJ0,P48509,DUSP18,CD151,1,1,0,1,1,0,,Fantom5_LRdb;HPMR;HPMR_LRdb;LRdb;Wang;iTALK,HPMR:10842354;HPMR:15677332,6,2
P01024,COMPLEX:P05107_P11215,C3,ITGAM_ITGB2,1,1,0,1,1,0,,CellPhoneDB;KEGG-MEDICUS,,2,0
P01137,P00533,TGFB1,EGFR,1,1,0,1,1,0,,CellPhoneDB;IMEx_CellPhoneDB;InnateDB-All_CellPhoneDB;MINT_CellPhoneDB;ProtMapper;Sparser_ProtMapper;Wang,ProtMapper:19132220;ProtMapper:20953304;ProtMapper:28943431,7,3
P15151,Q495A1,PVR,TIGIT,1,1,0,1,1,0,,CellPhoneDB;IntAct;LRdb;Lit-BM-17;UniProt_LRdb,CellPhoneDB:19815499;IntAct:21982860;IntAct:28515320;Lit-BM-17:21982860,5,4
P01275,P27487,GCG,DPP4,1,0,1,1,0,1,,CellPhoneDB;InnateDB-All_CellPhoneDB;MINT_CellPhoneDB;Wang,,4,0
P27487,P01275,DPP4,GCG,1,1,0,1,1,0,,CellPhoneDB;InnateDB-All_CellPhoneDB;MINT_CellPhoneDB;Wang,,4,0
