X1	X3	X2
Perturbation	inhibits	GALP 
Perturbation	inhibits	GAS1 
Perturbation	inhibits	GAS6 
Perturbation	inhibits	GAST 
Perturbation	inhibits	GCC1 
Perturbation	inhibits	GCHFR 
Perturbation	inhibits	GCKR 
Perturbation	inhibits	GDF1 
Perturbation	inhibits	GDF10 
Perturbation	inhibits	GDF11 
Perturbation	inhibits	GDF2 
Perturbation	inhibits	GDF3 
Perturbation	inhibits	GDF6 
Perturbation	inhibits	GDF7 
Perturbation	inhibits	GDF9 
Perturbation	inhibits	GFI1B 
Perturbation	inhibits	GGCX 
Perturbation	inhibits	GH1 
Perturbation	inhibits	GH2 
Perturbation	inhibits	GHITM 
Perturbation	inhibits	GHRH 
Perturbation	inhibits	GHRL 
Perturbation	inhibits	GIP 
Perturbation	inhibits	GLRX 
Perturbation	inhibits	GMIP 
Perturbation	inhibits	GNB5 
Perturbation	inhibits	GNG4 
Perturbation	inhibits	GNGT2 
Perturbation	inhibits	GNL3 
Perturbation	inhibits	GNRH1 
Perturbation	inhibits	GNRH2 
Perturbation	inhibits	GOPC 
Perturbation	inhibits	GPC3 
Perturbation	inhibits	GPC4 
Perturbation	inhibits	GPER1 
Perturbation	inhibits	GPHA2 
Perturbation	inhibits	GPR132 
Perturbation	inhibits	GPR17 
Perturbation	inhibits	GPR174 
Perturbation	inhibits	GPR183 
Perturbation	inhibits	GPR34 
Perturbation	inhibits	GPR35 
Perturbation	inhibits	GPR55 
Perturbation	inhibits	GPR84 
Perturbation	inhibits	GPSM1 
Perturbation	inhibits	GRIP1 
Perturbation	inhibits	GRIPAP1 
Perturbation	inhibits	GRK3 
Perturbation	inhibits	GRK4 
Perturbation	inhibits	GRK5 
Perturbation	inhibits	GRK6 
Perturbation	inhibits	GRP 
Perturbation	inhibits	GSPT1 
Perturbation	inhibits	GTF2E2 
Perturbation	inhibits	GTF3C4 
Perturbation	inhibits	GUCA1A 
Perturbation	inhibits	GUCA1B 
Perturbation	inhibits	GUCA2A 
Perturbation	inhibits	GUCA2B 
Perturbation	inhibits	GXYLT1 
Perturbation	inhibits	GXYLT2 
Perturbation	inhibits	GZMA 
Perturbation	inhibits	GZMM 
Perturbation	inhibits	HACD3 
Perturbation	inhibits	HAT1 
Perturbation	inhibits	HCRT 
Perturbation	inhibits	HDAC10 
Perturbation	inhibits	HDC 
Perturbation	inhibits	HEBP1 
Perturbation	inhibits	HECTD3 
Perturbation	inhibits	HELLS 
Perturbation	inhibits	HES6 
Perturbation	inhibits	HEY2 
Perturbation	inhibits	HFE 
Perturbation	inhibits	HGFAC 
Perturbation	inhibits	HHAT 
Perturbation	inhibits	HIF1AN 
Perturbation	inhibits	HIPK3 
Perturbation	inhibits	HIPK4 
Perturbation	inhibits	HIST2H3C 
Perturbation	inhibits	HLA_A 
Perturbation	inhibits	HLA_B 
Perturbation	inhibits	HLA_C 
Perturbation	inhibits	HLA_DMA 
Perturbation	inhibits	HLA_DMB 
Perturbation	inhibits	HLA_DPA1 
Perturbation	inhibits	HLA_DQA2 
Perturbation	inhibits	HLA_DQB1 
Perturbation	inhibits	HLA_F 
Perturbation	inhibits	HLA_G 
Perturbation	inhibits	HLX 
Perturbation	inhibits	HMOX2 
Perturbation	inhibits	HNRNPUL1 
Perturbation	inhibits	HOMER1 
Perturbation	inhibits	HOMER2 
Perturbation	inhibits	HOOK1 
Perturbation	inhibits	HOOK2 
Perturbation	inhibits	HOOK3 
Perturbation	inhibits	HOXB7 
Perturbation	inhibits	HOXB8 
Perturbation	inhibits	HP 
Perturbation	inhibits	HPCA 
Perturbation	inhibits	HPGDS 
Perturbation	inhibits	HPN 
Perturbation	inhibits	HRG 
Perturbation	inhibits	HRK 
Perturbation	inhibits	HSBP1 
Perturbation	inhibits	HSPA14 
Perturbation	inhibits	HSPA2 
Perturbation	inhibits	HSPBP1 
Perturbation	inhibits	HSPE1 
Perturbation	inhibits	HSPG2 
Perturbation	inhibits	HTATIP2 
Perturbation	inhibits	HUS1 
Perturbation	inhibits	HYAL2 
Perturbation	inhibits	IAPP 
Perturbation	inhibits	IBSP 
Perturbation	inhibits	ICAM2 
Perturbation	inhibits	ICAM4 
Perturbation	inhibits	ICAM5 
Perturbation	inhibits	ICOSLG 
Perturbation	inhibits	IFNA10 
Perturbation	inhibits	IFNA14 
Perturbation	inhibits	IFNA16 
Perturbation	inhibits	IFNA17 
Perturbation	inhibits	IFNA2 
Perturbation	inhibits	IFNA21 
Perturbation	inhibits	IFNA4 
Perturbation	inhibits	IFNA5 
Perturbation	inhibits	IFNA6 
Perturbation	inhibits	IFNA7 
Perturbation	inhibits	IFNA8 
Perturbation	inhibits	IFNE 
Perturbation	inhibits	IFNK 
Perturbation	inhibits	IFNL1 
Perturbation	inhibits	IFNL2 
Perturbation	inhibits	IFNL3 
Perturbation	inhibits	IFNW1 
Perturbation	inhibits	IGBP1 
Perturbation	inhibits	IGFBP7 
Perturbation	inhibits	IHH 
