pr_gene_id,pr_gene_symbol
23636,NUP62
10381,TUBB3
8021,NUP214
10659,CELF2
1387,CREBBP
5585,PKN1
9337,CNOT8
5504,PPP1R2
64210,MMS19
60496,AASDHPPT
7716,VEZF1
5108,PCM1
79586,CHPF
2071,ERCC3
2621,GAS6
5590,PRKCZ
642,BLMH
9961,MVP
9766,SUSD6
2648,KAT2A
3835,KIF22
55746,NUP133
8985,PLOD3
5525,PPP2R5A
9688,NUP93
8522,GAS7
3985,LIMK2
50999,TMED5
27122,DKK3
8897,MTMR3
6732,SRPK1
645,BLVRB
3910,LAMA4
267,AMFR
7408,VASP
10123,ARL4C
27258,LSM3
26286,ARFGAP3
23481,PES1
8450,CUL4B
4802,NFYC
8209,C21orf33
9415,FADS2
6535,SLC6A8
22889,KIAA0907
1674,DES
3703,STT3A
1398,CRK
10902,BRD8
27020,NPTN
10523,CHERP
10480,EIF3M
7388,UQCRH
6566,SLC16A1
4837,NNMT
143,PARP4
5347,PLK1
10221,TRIB1
7102,TSPAN7
5692,PSMB4
4047,LSS
1019,CDK4
1874,E2F4
50717,DCAF8
9129,PRPF3
5872,RAB13
1785,DNM2
26037,SIPA1L1
10421,CD2BP2
10443,N4BP2L2
6812,STXBP1
6944,VPS72
23564,DDAH2
51706,CYB5R1
10452,TOMM40
648,BMI1
51567,TDP2
3918,LAMC2
8883,NAE1
2633,GBP1
23219,FBXO28
5159,PDGFRB
72,ACTG2
2539,G6PD
7979,SHFM1
10558,SPTLC1
9556,C14orf2
2580,GAK
3028,HSD17B10
5176,SERPINF1
1026,CDKN1A
4070,TACSTD2
2475,MTOR
11333,PDAP1
4256,MGP
10274,STAG1
1512,CTSH
11079,RER1
4694,NDUFA1
10542,LAMTOR5
65117,RSRC2
8467,SMARCA5
22862,FNDC3A
5436,POLR2G
6890,TAP1
6720,SREBF1
4522,MTHFD1
1277,COL1A1
5520,PPP2R2A
1595,CYP51A1
613,BCR
10277,UBE4B
26054,SENP6
9453,GGPS1
64746,ACBD3
522,ATP5J
10919,EHMT2
5310,PKD1
1445,CSK
7374,UNG
593,BCKDHA
1454,CSNK1E
7320,UBE2B
11243,PMF1
7083,TK1
3164,NR4A1
3297,HSF1
2171,FABP5
3093,UBE2K
1861,TOR1A
4147,MATN2
3685,ITGAV
5718,PSMD12
2962,GTF2F1
629,CFB
399979,SNX19
9794,MAML1
9632,SEC24C
5906,RAP1A
6695,SPOCK1
4601,MXI1
84747,UNC119B
35,ACADS
9697,TRAM2
865,CBFB
79921,TCEAL4
25782,RAB3GAP2
9871,SEC24D
12,SERPINA3
54741,LEPROT
4820,NKTR
8754,ADAM9
10007,GNPDA1
8242,KDM5C
6949,TCOF1
9665,KIAA0430
5997,RGS2
3064,HTT
10409,BASP1
23761,PISD
7071,KLF10
55324,ABCF3
4905,NSF
10915,TCERG1
10204,NUTF2
10239,AP3S2
6722,SRF
833,CARS
1278,COL1A2
7073,TIAL1
26121,PRPF31
3429,IFI27
7398,USP1
2073,ERCC5
23640,HSPBP1
7266,DNAJC7
9817,KEAP1
10897,YIF1A
2531,KDSR
1660,DHX9
3321,IGSF3
2182,ACSL4
7994,KAT6A
5605,MAP2K2
25874,MPC2
4609,MYC
5532,PPP3CB
10237,SLC35B1
1545,CYP1B1
3423,IDS
6764,ST5
10613,ERLIN1
1176,AP3S1
4853,NOTCH2
5359,PLSCR1
1666,DECR1
6256,RXRA
1513,CTSK
10444,ZER1
2965,GTF2H1
2065,ERBB3
10014,HDAC5
5530,PPP3CA
11098,PRSS23
9663,LPIN2
8892,EIF2B2
9879,DDX46
53615,MBD3
5209,PFKFB3
5118,PCOLCE
11044,PAPD7
9318,COPS2
8727,CTNNAL1
11052,CPSF6
4351,MPI
3054,HCFC1
10430,TMEM147
10844,TUBGCP2
28951,TRIB2
9249,DHRS3
5902,RANBP1
8932,MBD2
10939,AFG3L2
5349,FXYD3
8518,IKBKAP
79065,ATG9A
10450,PPIE
6903,TBCC
23644,EDC4
6515,SLC2A3
3300,DNAJB2
34,ACADM
9768,KIAA0101
23650,TRIM29
6629,SNRPB2
6744,SSFA2
6616,SNAP25
7127,TNFAIP2
5528,PPP2R5D
1739,DLG1
1400,CRMP1
9275,BCL7B
22877,MLXIP
4292,MLH1
10664,CTCF
23760,PITPNB
9806,SPOCK2
5652,PRSS8
4089,SMAD4
2582,GALE
5635,PRPSAP1
3659,IRF1
1719,DHFR
8772,FADD
25978,CHMP2B
3156,HMGCR
9255,AIMP1
2764,GMFB
5580,PRKCD
8673,VAMP8
8874,ARHGEF7
9217,VAPB
51232,CRIM1
25949,SYF2
2947,GSTM3
4638,MYLK
10445,MCRS1
6782,HSPA13
26097,CHTOP
8658,TNKS
11161,C14orf1
402,ARL2
6840,SVIL
6634,SNRPD3
4140,MARK3
22839,DLGAP4
1455,CSNK1G2
1382,CRABP2
55308,DDX19A
2305,FOXM1
10048,RANBP9
4799,NFX1
203,AK1
7298,TYMS
5164,PDK2
6742,SSBP1
51573,GDE1
23484,LEPROTL1
3664,IRF6
6284,S100A13
8204,NRIP1
27336,HTATSF1
102,ADAM10
2990,GUSB
9874,TLK1
3340,NDST1
2059,EPS8
9282,MED14
1503,CTPS1
10463,SLC30A9
2776,GNAQ
4204,MECP2
5352,PLOD2
3661,IRF3
6311,ATXN2
55837,EAPP
5054,SERPINE1
10513,APPBP2
11073,TOPBP1
5440,POLR2K
7844,RNF103
3383,ICAM1
8498,RANBP3
403,ARL3
8295,TRRAP
7128,TNFAIP3
4221,MEN1
4893,NRAS
6223,RPS19
9772,TMEM94
9926,LPGAT1
322,APBB1
64844,MARCH7
7873,MANF
9792,SERTAD2
8799,PEX11B
5699,PSMB10
3709,ITPR2
7456,WIPF1
86,ACTL6A
1948,EFNB2
5604,MAP2K1
467,ATF3
8813,DPM1
4008,LMO7
6390,SDHB
5921,RASA1
2958,GTF2A2
4864,NPC1
2961,GTF2E2
8731,RNMT
558,AXL
8743,TNFSF10
29890,RBM15B
6632,SNRPD1
9263,STK17A
9943,OXSR1
649,BMP1
7726,TRIM26
8446,DUSP11
10140,TOB1
9133,CCNB2
8349,HIST2H2BE
2331,FMOD
10282,BET1
1947,EFNB1
9692,KIAA0391
790,CAD
5770,PTPN1
3485,IGFBP2
26136,TES
2673,GFPT1
2308,FOXO1
5430,POLR2A
3978,LIG1
4052,LTBP1
11142,PKIG
8974,P4HA2
9322,TRIP10
10682,EBP
25804,LSM4
5257,PHKB
5567,PRKACB
8503,PIK3R3
6575,SLC20A2
9101,USP8
9452,ITM2A
2634,GBP2
7485,WRB
24144,TFIP11
9861,PSMD6
23518,R3HDM1
2817,GPC1
25920,NELFB
8625,RFXANK
23224,SYNE2
9475,ROCK2
836,CASP3
6786,STIM1
2200,FBN1
53,ACP2
2354,FOSB
901,CCNG2
9780,PIEZO1
3155,HMGCL
6433,SFSWAP
30836,DNTTIP2
8036,SHOC2
7750,ZMYM2
27338,UBE2S
5019,OXCT1
51763,INPP5K
23530,NNT
4701,NDUFA7
27347,STK39
7867,MAPKAPK3
5335,PLCG1
1366,CLDN7
9701,PPP6R2
10162,LPCAT3
3628,INPP1
11346,SYNPO
22908,SACM1L
10427,SEC24B
8192,CLPP
6507,SLC1A3
5566,PRKACA
3689,ITGB2
4363,ABCC1
1627,DBN1
10043,TOM1
54838,WBP1L
65123,INTS3
4733,DRG1
10617,STAMBP
2548,GAA
6894,TARBP1
6760,SS18
6924,TCEB3
196,AHR
4026,LPP
6921,TCEB1
291,SLC25A4
6692,SPINT1
4323,MMP14
6845,VAMP7
2542,SLC37A4
2877,GPX2
9648,GCC2
183,AGT
10907,TXNL4A
2517,FUCA1
4713,NDUFB7
8148,TAF15
4189,DNAJB9
10928,RALBP1
5106,PCK2
5825,ABCD3
79719,AAGAB
3251,HPRT1
7307,U2AF1
3576,CXCL8
9909,DENND4B
5187,PER1
2184,FAH
6672,SP100
54788,DNAJB12
10775,POP4
4938,OAS1
991,CDC20
9618,TRAF4
528,ATP6V1C1
5089,PBX2
22918,CD93
9267,CYTH1
5519,PPP2R1B
54541,DDIT4
290,ANPEP
9053,MAP7
4817,NIT1
8697,CDC23
10497,UNC13B
2050,EPHB4
140885,SIRPA
9672,SDC3
