	0
687	LJP006_HS578T_24H:K12
688	LJP006_HS578T_24H:O01
689	LJP006_HS578T_24H:O02
690	LJP006_HS578T_24H:O03
691	LJP006_HS578T_24H:O04
692	LJP006_HS578T_24H:O05
693	LJP006_HS578T_24H:O06
694	LJP006_HS578T_24H:C19
695	LJP006_HS578T_3H:C19
696	LJP006_HS578T_3H:C20
697	LJP006_HS578T_3H:C21
698	LJP006_HS578T_3H:C22
699	LJP006_HS578T_3H:C23
700	LJP006_HS578T_3H:C24
701	LJP006_HS578T_3H:G13
702	LJP006_HS578T_3H:G14
703	LJP006_HS578T_3H:G15
704	LJP006_HS578T_3H:G16
705	LJP006_HS578T_3H:G17
706	LJP006_HS578T_3H:G18
707	LJP006_HS578T_3H:K07
708	LJP006_HS578T_3H:K08
709	LJP006_HS578T_3H:K09
710	LJP006_HS578T_3H:K10
711	LJP006_HS578T_3H:K11
712	LJP006_HS578T_3H:K12
713	LJP006_HS578T_3H:O01
714	LJP006_HS578T_3H:O02
715	LJP006_HS578T_3H:O03
716	LJP006_HS578T_3H:O04
717	LJP006_HS578T_3H:O05
718	LJP006_HS578T_3H:O06
719	LJP006_HT29_24H:C19
720	LJP006_HT29_24H:C20
721	LJP006_HT29_24H:C21
722	LJP006_HT29_24H:C22
723	LJP006_HT29_24H:C23
724	LJP006_HT29_24H:C24
725	LJP006_HT29_24H:G14
726	LJP006_HT29_24H:G15
727	LJP006_HT29_24H:G16
728	LJP006_HT29_24H:G17
729	LJP006_HT29_24H:G18
730	LJP006_HT29_24H:K07
731	LJP006_HT29_24H:K08
732	LJP006_HT29_24H:K09
733	LJP006_HT29_24H:O01
734	LJP006_HT29_24H:O02
735	LJP006_HT29_24H:O03
736	LJP006_HT29_24H:O04
737	LJP006_HT29_24H:O05
738	LJP006_HT29_24H:O06
739	LJP006_HT29_24H:G13
740	LJP006_HT29_24H:K10
741	LJP006_HT29_24H:K11
742	LJP006_HT29_24H:K12
743	LJP006_LNCAP_24H:C19
744	LJP006_LNCAP_24H:C20
745	LJP006_LNCAP_24H:C21
746	LJP006_LNCAP_24H:C22
747	LJP006_LNCAP_24H:C24
748	LJP006_LNCAP_24H:G14
749	LJP006_LNCAP_24H:G17
750	LJP006_LNCAP_24H:G18
751	LJP006_LNCAP_24H:K07
752	LJP006_LNCAP_24H:K08
753	LJP006_LNCAP_24H:K09
754	LJP006_LNCAP_24H:K10
755	LJP006_LNCAP_24H:K11
756	LJP006_LNCAP_24H:K12
757	LJP006_LNCAP_24H:O01
758	LJP006_LNCAP_24H:O02
759	LJP006_LNCAP_24H:O03
760	LJP006_LNCAP_24H:O04
761	LJP006_LNCAP_24H:O05
762	LJP006_LNCAP_24H:O06
763	LJP006_LNCAP_24H:G13
764	LJP006_LNCAP_24H:G15
765	LJP006_LNCAP_24H:G16
766	LJP006_LNCAP_24H:C23
767	LJP006_LNCAP_3H:C19
768	LJP006_LNCAP_3H:C20
769	LJP006_LNCAP_3H:C21
770	LJP006_LNCAP_3H:C22
771	LJP006_LNCAP_3H:C23
772	LJP006_LNCAP_3H:C24
773	LJP006_LNCAP_3H:G13
774	LJP006_LNCAP_3H:G14
775	LJP006_LNCAP_3H:G15
776	LJP006_LNCAP_3H:G16
777	LJP006_LNCAP_3H:G17
778	LJP006_LNCAP_3H:G18
779	LJP006_LNCAP_3H:K07
780	LJP006_LNCAP_3H:K08
781	LJP006_LNCAP_3H:K09
782	LJP006_LNCAP_3H:K10
